t,Nu
0.1370,3.91587790
0.1372,3.91587897
0.1373,3.91588004
0.1375,3.91588109
0.1377,3.91588214
0.1379,3.91588319
0.1381,3.91588422
0.1382,3.91588525
0.1384,3.91588627
0.1386,3.91588728
0.1388,3.91588829
0.1390,3.91588929
0.1391,3.91589028
0.1393,3.91589126
0.1395,3.91589224
0.1397,3.91589321
0.1399,3.91589418
0.1400,3.91589513
0.1402,3.91589608
0.1404,3.91589703
0.1406,3.91589796
0.1407,3.91589889
0.1409,3.91589982
0.1411,3.91590073
0.1413,3.91590164
0.1415,3.91590255
0.1416,3.91590344
0.1418,3.91590433
0.1420,3.91590522
0.1422,3.91590610
0.1424,3.91590697
0.1425,3.91590784
0.1427,3.91590870
0.1429,3.91590955
0.1431,3.91591040
0.1433,3.91591124
0.1434,3.91591208
0.1436,3.91591291
0.1438,3.91591373
0.1440,3.91591455
0.1441,3.91591537
0.1443,3.91591617
0.1445,3.91591697
0.1447,3.91591777
0.1449,3.91591856
0.1450,3.91591935
0.1452,3.91592013
0.1454,3.91592090
0.1456,3.91592167
0.1458,3.91592243
0.1459,3.91592319
0.1461,3.91592394
0.1463,3.91592469
0.1465,3.91592544
0.1467,3.91592617
0.1468,3.91592691
0.1470,3.91592763
0.1472,3.91592836
0.1474,3.91592907
0.1476,3.91592979
0.1477,3.91593049
0.1479,3.91593120
0.1481,3.91593189
0.1483,3.91593259
0.1484,3.91593327
0.1486,3.91593396
0.1488,3.91593464
0.1490,3.91593531
0.1492,3.91593598
0.1493,3.91593665
0.1495,3.91593731
0.1497,3.91593796
0.1499,3.91593861
0.1501,3.91593926
0.1502,3.91593990
0.1504,3.91594054
0.1506,3.91594118
0.1508,3.91594181
0.1510,3.91594243
0.1511,3.91594305
0.1513,3.91594367
0.1515,3.91594428
0.1517,3.91594489
0.1518,3.91594550
0.1520,3.91594610
0.1522,3.91594669
0.1524,3.91594728
0.1526,3.91594787
0.1527,3.91594846
0.1529,3.91594904
0.1531,3.91594961
0.1533,3.91595019
0.1535,3.91595075
0.1536,3.91595132
0.1538,3.91595188
0.1540,3.91595244
0.1542,3.91595299
0.1544,3.91595354
0.1545,3.91595409
0.1547,3.91595463
0.1549,3.91595517
0.1551,3.91595570
0.1553,3.91595623
0.1554,3.91595676
0.1556,3.91595729
0.1558,3.91595781
0.1560,3.91595833
0.1561,3.91595884
0.1563,3.91595935
0.1565,3.91595986
0.1567,3.91596036
0.1569,3.91596086
0.1570,3.91596136
0.1572,3.91596185
0.1574,3.91596234
0.1576,3.91596283
0.1578,3.91596332
0.1579,3.91596380
0.1581,3.91596428
0.1583,3.91596475
0.1585,3.91596522
0.1587,3.91596569
0.1588,3.91596616
0.1590,3.91596662
0.1592,3.91596708
0.1594,3.91596753
0.1595,3.91596799
0.1597,3.91596844
0.1599,3.91596888
0.1601,3.91596933
0.1603,3.91596977
0.1604,3.91597021
0.1606,3.91597064
0.1608,3.91597108
0.1610,3.91597151
0.1612,3.91597193
0.1613,3.91597236
0.1615,3.91597278
0.1617,3.91597320
0.1619,3.91597362
0.1621,3.91597403
0.1622,3.91597444
0.1624,3.91597485
0.1626,3.91597525
0.1628,3.91597566
0.1630,3.91597606
0.1631,3.91597645
0.1633,3.91597685
0.1635,3.91597724
0.1637,3.91597763
0.1638,3.91597802
0.1640,3.91597840
0.1642,3.91597879
0.1644,3.91597917
0.1646,3.91597954
0.1647,3.91597992
0.1649,3.91598029
0.1651,3.91598066
0.1653,3.91598103
0.1655,3.91598140
0.1656,3.91598176
0.1658,3.91598212
0.1660,3.91598248
0.1662,3.91598284
0.1664,3.91598319
0.1665,3.91598354
0.1667,3.91598389
0.1669,3.91598424
0.1671,3.91598458
0.1672,3.91598493
0.1674,3.91598527
0.1676,3.91598561
0.1678,3.91598594
0.1680,3.91598628
0.1681,3.91598661
0.1683,3.91598694
0.1685,3.91598727
0.1687,3.91598759
0.1689,3.91598792
0.1690,3.91598824
0.1692,3.91598856
0.1694,3.91598888
0.1696,3.91598919
0.1698,3.91598951
0.1699,3.91598982
0.1701,3.91599013
0.1703,3.91599044
0.1705,3.91599074
0.1707,3.91599105
0.1708,3.91599135
0.1710,3.91599165
0.1712,3.91599195
0.1714,3.91599224
0.1715,3.91599254
0.1717,3.91599283
0.1719,3.91599312
0.1721,3.91599341
0.1723,3.91599370
0.1724,3.91599398
0.1726,3.91599427
0.1728,3.91599455
0.1730,3.91599483
0.1732,3.91599511
0.1733,3.91599539
0.1735,3.91599566
0.1737,3.91599594
0.1739,3.91599621
0.1741,3.91599648
0.1742,3.91599675
0.1744,3.91599701
0.1746,3.91599728
0.1748,3.91599754
0.1749,3.91599780
0.1751,3.91599806
0.1753,3.91599832
0.1755,3.91599858
0.1757,3.91599883
0.1758,3.91599909
0.1760,3.91599934
0.1762,3.91599959
0.1764,3.91599984
0.1766,3.91600009
0.1767,3.91600033
0.1769,3.91600058
0.1771,3.91600082
0.1773,3.91600106
0.1775,3.91600130
0.1776,3.91600154
0.1778,3.91600178
0.1780,3.91600202
0.1782,3.91600225
0.1784,3.91600248
0.1785,3.91600272
0.1787,3.91600295
0.1789,3.91600318
0.1791,3.91600340
0.1792,3.91600363
0.1794,3.91600386
0.1796,3.91600408
0.1798,3.91600430
0.1800,3.91600452
0.1801,3.91600474
0.1803,3.91600496
0.1805,3.91600518
0.1807,3.91600539
0.1809,3.91600561
0.1810,3.91600582
0.1812,3.91600603
0.1814,3.91600624
0.1816,3.91600645
0.1818,3.91600666
0.1819,3.91600687
0.1821,3.91600707
0.1823,3.91600728
0.1825,3.91600748
0.1826,3.91600768
0.1828,3.91600788
0.1830,3.91600808
0.1832,3.91600828
0.1834,3.91600848
0.1835,3.91600867
0.1837,3.91600887
0.1839,3.91600906
0.1841,3.91600925
0.1843,3.91600944
0.1844,3.91600963
0.1846,3.91600982
0.1848,3.91601001
0.1850,3.91601020
0.1852,3.91601038
0.1853,3.91601057
0.1855,3.91601075
0.1857,3.91601093
0.1859,3.91601111
0.1861,3.91601129
0.1862,3.91601147
0.1864,3.91601165
0.1866,3.91601183
0.1868,3.91601200
0.1869,3.91601218
0.1871,3.91601235
0.1873,3.91601252
0.1875,3.91601269
0.1877,3.91601286
0.1878,3.91601303
0.1880,3.91601320
0.1882,3.91601337
0.1884,3.91601354
0.1886,3.91601370
0.1887,3.91601387
0.1889,3.91601403
0.1891,3.91601419
0.1893,3.91601436
0.1895,3.91601452
0.1896,3.91601468
0.1898,3.91601484
0.1900,3.91601499
0.1902,3.91601515
0.1903,3.91601531
0.1905,3.91601546
0.1907,3.91601562
0.1909,3.91601577
0.1911,3.91601592
0.1912,3.91601607
0.1914,3.91601623
0.1916,3.91601638
0.1918,3.91601653
0.1920,3.91601667
0.1921,3.91601682
0.1923,3.91601697
0.1925,3.91601711
0.1927,3.91601726
0.1929,3.91601740
0.1930,3.91601755
0.1932,3.91601769
0.1934,3.91601783
0.1936,3.91601797
0.1938,3.91601811
0.1939,3.91601825
0.1941,3.91601839
0.1943,3.91601853
0.1945,3.91601866
0.1946,3.91601880
0.1948,3.91601893
0.1950,3.91601907
0.1952,3.91601920
0.1954,3.91601934
0.1955,3.91601947
0.1957,3.91601960
0.1959,3.91601973
0.1961,3.91601986
0.1963,3.91601999
0.1964,3.91602012
0.1966,3.91602025
0.1968,3.91602037
0.1970,3.91602050
0.1972,3.91602063
0.1973,3.91602075
0.1975,3.91602087
0.1977,3.91602100
0.1979,3.91602112
0.1980,3.91602124
0.1982,3.91602137
0.1984,3.91602149
0.1986,3.91602161
0.1988,3.91602173
0.1989,3.91602184
0.1991,3.91602196
0.1993,3.91602208
0.1995,3.91602220
0.1997,3.91602231
0.1998,3.91602243
0.2000,3.91602254
0.2002,3.91602266
0.2004,3.91602277
0.2006,3.91602288
0.2007,3.91602300
0.2009,3.91602311
0.2011,3.91602322
0.2013,3.91602333
0.2015,3.91602344
0.2016,3.91602355
0.2018,3.91602366
0.2020,3.91602376
0.2022,3.91602387
0.2023,3.91602398
0.2025,3.91602408
0.2027,3.91602419
0.2029,3.91602429
0.2031,3.91602440
0.2032,3.91602450
0.2034,3.91602461
0.2036,3.91602471
0.2038,3.91602481
0.2040,3.91602491
0.2041,3.91602501
0.2043,3.91602511
0.2045,3.91602521
0.2047,3.91602531
0.2049,3.91602541
0.2050,3.91602551
0.2052,3.91602561
0.2054,3.91602570
0.2056,3.91602580
0.2057,3.91602590
